transition	four	code	wavelength
MgI	2026	a1	2026.4749788
MgI	2852	a2	2852.9627970
MgII	2796	b1	2796.3537860
MgII	2803	b2	2803.5309820
AlII	1670	c1	1670.7886100
AlIII	1854	d1	1854.7089660
AlIII	1862	d2	1862.7985810
SiII	1526	e1	1526.7069800
SiII	1808	e2	1808.0128830
CrII	2056	h1	2056.2567280
CrII	2062	h2	2062.2358730
CrII	2066	h3	2066.1638190
FeII	1608	j1	1608.4508520
FeII	1611	j2	1611.2003690
FeII	2260	j3	2260.7791080
FeII	2344	j4	2344.2127470
FeII	2374	j5	2374.4600640
FeII	2382	j6	2382.7639950
FeII	2586	j7	2586.6493120
FeII	2600	j8	2600.1721140
MnII	2576	i1	2576.8753100
MnII	2594	i2	2594.4966200
MnII	2606	i3	2606.4589600
NiII	1709	k1	1709.6040200
NiII	1741	k2	1741.5528900
NiII	1751	k3	1751.9154900
TiII	3067	g1	3067.2373700
TiII	3073	g2	3073.8627800
TiII	3230	g3	3230.1215700
TiII	3242	g4	3242.9178500
TiII	3384	g5	3384.7298800
ZnII	2026	l1	2026.1369460
ZnII	2062	l2	2062.6602910
